,aud_nationwide,log_aud
37,364415,12.80604861
786,284755,12.55938444
189,51207,10.84363152
710,186191,12.13452831
157,142456,11.86678846
214,1156727,13.96110502
319,627102,13.34886449
581,1314274,14.08879498
865,655876,13.39372703
719,108780,11.59708277
856,1140876,13.94730695
690,639934,13.36912033
111,2839921,14.85928679
381,3628949,15.10445363
445,117401,11.6733507
648,37300,10.52674861
477,4853778,15.39526793
542,94281,11.45403496
215,1100120,13.91092982
440,128472,11.76346626
565,5398994,15.501723199999999
337,192668,12.16872378
306,1399771,14.15181921
817,72412,11.19012731
561,46469,10.746540699999999
216,1069436,13.88264196
484,2656694,14.79259305
738,43627,10.683431500000001
485,2050909,14.53379367
721,93691,11.44775741
887,174938,12.0721869
45,298298,12.60584827
448,108730,11.59662302
501,770801,13.55518551
233,356976,12.78542383
736,45764,10.73125303
667,2820029,14.85225773
847,2227671,14.616467199999999
741,37764,10.53911155
546,81680,11.31056445
76,107441,11.58469714
380,3653238,15.11112446
159,122574,11.71647021
322,553760,13.22448666
459,66074,11.09853061
893,136869,11.82677954
712,170878,12.04870513
43,309729,12.643453
150,185960,12.13328688
56,233347,12.3602819
521,321018,12.67925248
697,459020,13.03684906
665,3033052,14.92507993
77,98495,11.49776106
390,2310054,14.65278146
163,111127,11.61842897
563,11202637,16.23165975
246,214003,12.27374531
33,472693,13.06620141
388,2447246,14.71047387
265,94926,11.46085292
705,267785,12.4979397
895,132958,11.79778857
643,47540,10.76932674
869,587818,13.28417266
140,332180,12.71343227
333,233283,12.36000759
722,93000,11.44035477
903,91782,11.42717148
654,12253247,16.32130152
614,182545,12.114752000000001
745,16263360,16.60442528
737,44141,10.69514433
765,1157583,13.96184477
199,4142912,15.23690948
709,189948,12.15450563
704,267896,12.49835412
685,768442,13.55212037
264,103542,11.54773261
437,149719,11.91651548
68,140616,11.85378805
693,490307,13.102787
810,92713,11.43726398
259,134029,11.80581147
911,58645,10.9792576
97,46079,10.73811259
366,66883,11.110700099999999
257,141025,11.85669246
298,2718158,14.815465
699,395408,12.88767342
590,554521,13.22585996
92,56547,10.94282743
411,629322,13.35239833
402,1176711,13.97823382
821,51149,10.84249822
69,136134,11.82139497
29,716386,13.48197441
40,344766,12.75062121
587,903175,13.71367161
144,260518,12.47042724
833,13369087,16.40845566
416,459421,13.03772228
293,4935320,15.41192807
129,654102,13.39101858
639,52896,10.876083
922,32684,10.39464094
241,256035,12.45306943
867,637021,13.3645579
407,764072,13.546417300000002
545,82863,11.32494392
105,5440520,15.509385199999999
2,6125154,15.62791446
556,54988,10.91487026
231,425799,12.96172268
540,98231,11.49507713
71,119518,11.69122227
218,918678,13.73069096
391,2153152,14.58244337
842,3657536,15.11230025
471,8539495,15.96021243
732,49574,10.81122178
771,676161,13.42418649
397,1675798,14.33180003
375,54144,10.89940244
39,351208,12.76913392
341,142577,11.86763748
808,101293,11.52577259
340,146548,11.895108300000002
62,170235,12.04493511
329,331877,12.712519699999998
276,68815,11.13917702
559,50783,10.83531693
461,62033,11.03542178
630,94179,11.45295251
880,248320,12.42247352
804,104408,11.55606158
230,445009,13.00584979
511,407727,12.91835311
782,323098,12.68571096
220,820800,13.61803475
110,3239371,14.99088973
472,7257973,15.79761115
425,351276,12.76932752
460,65910,11.09604545
679,1167150,13.97007544
193,46781,10.75323242
747,9577981,16.07497738
208,1426873,14.17099589
837,5247794,15.47331836
649,36737,10.5115397
242,236971,12.37569305
674,1599290,14.28507034
458,72495,11.19127287
731,55919,10.93165949
363,69529,11.14949921
612,198013,12.19608796
67,142375,11.866219699999998
198,4703245,15.36376325
335,215159,12.27913257
676,1543800,14.24975747
283,55330,10.92107054
226,485083,13.09207529
357,80754,11.29916278
263,111902,11.62537877
912,56787,10.94706271
161,113404,11.63871194
564,5519169,15.52373786
142,319072,12.67317206
760,1624364,14.30062691
577,1504866,14.22421442
210,1278894,14.0615062
249,189047,12.14975094
791,197612,12.19406079
347,119964,11.69494698
417,448826,13.01439056
414,501286,13.12493208
777,428009,12.9668995
881,219078,12.29718311
766,1022790,13.83804475
675,1593386,14.28137187
498,863567,13.66882676
8,2801949,14.8458258
294,4662534,15.35506964
331,318977,12.67287428
30,573657,13.25978694
619,140849,11.85544367
93,55892,10.93117654
186,53233,10.88243378
508,448381,13.013398599999999
753,2516128,14.73823177
88,75598,11.23318511
240,278914,12.53865877
392,2128572,14.57096189
909,61784,11.03139971
7,3044134,14.92872702
775,466475,13.05295971
179,61046,11.01938296
252,169855,12.04270041
507,465265,13.05036241
454,82177,11.31663074
726,69834,11.15387628
553,62082,11.03621137
861,817547,13.61406367
670,2285143,14.64193916
204,2292929,14.645340599999999
334,219047,12.2970416
227,477848,13.07704797
758,1826714,14.41802928
626,101173,11.5245872
107,4968687,15.41866618
352,95542,11.46732122
660,4971261,15.41918409
652,35870,10.48765657
671,2087474,14.55146528
118,1593694,14.28156515
904,88055,11.3857169
757,1901684,14.45825037
908,63784,11.06325765
725,77794,11.26181959
188,51711,10.8534258
514,380581,12.84945431
476,4945484,15.41398539
182,56515,10.94226137
234,313164,12.65448229
592,540410,13.20008339
370,63800,11.06350847
645,46487,10.74692798
386,2570874,14.75975648
125,825517,13.62376514
611,213980,12.27363783
517,341614,12.74143672
849,1804112,14.40557906
646,40882,10.61844515
170,87426,11.378548
686,723414,13.49173695
379,5137993,15.45217309
12,2191793,14.60023049
835,8020208,15.89747491
113,2744413,14.82507777
551,63258,11.05497688
632,86841,11.37183414
27,855980,13.66000229
541,97017,11.4826415
433,189620,12.15277735
187,52197,10.8627803
624,108959,11.59872694
162,112121,11.62733392
544,87841,11.38328364
680,1072006,13.88504222
267,90577,11.4139556
426,350129,12.76605694
673,1813594,14.41082107
348,117362,11.67301845
20,1512340,14.22916868
822,51065,10.84085461
34,465492,13.05085019
238,294320,12.59242289
207,1724927,14.36069529
151,184469,12.12523671
119,1584168,14.27556991
522,318737,12.67212159
404,930866,13.74387061
165,106030,11.57147735
456,72926,11.19720051
247,203775,12.22477172
906,73305,11.2023841
155,160148,11.98385367
323,551897,13.22111671
277,65887,11.09569643
302,2517805,14.73889805
787,262233,12.476988699999998
840,4573902,15.33587723
35,413577,12.93259899
730,57331,10.95659677
708,215029,12.27852818
584,1125238,13.93350513
743,34897,10.46015614
872,501934,13.12622392
336,212599,12.26716304
183,55619,10.92628015
15,1860934,14.43658907
863,672130,13.41820705
116,2053085,14.5348541
134,431310,12.97458237
695,482952,13.08767255
862,728345,13.49853012
735,46386,10.74475297
601,310695,12.646567
258,135874,11.81948326
248,202538,12.218682800000002
223,652453,13.38849438
201,3586346,15.09264441
313,971194,13.78628152
733,48462,10.78853526
868,591043,13.28964405
16,1743774,14.37156229
19,1559430,14.25983093
579,1385511,14.14157958
811,92043,11.43001114
796,177340,12.08582407
604,242164,12.39737046
268,85166,11.35235757
271,79701,11.28603741
358,79812,11.28742915
177,63954,11.06591935
818,58221,10.97200139
834,9426011,16.05898355
662,3772620,15.14328028
781,345521,12.7528087
261,120352,11.69817606
605,229346,12.34298706
310,1111158,13.92091327
191,49558,10.81089898
84,78336,11.26876255
663,3747952,15.13672012
924,31866,10.36929489
167,100026,11.51318543
78,92598,11.43602282
608,217803,12.29134626
343,135094,11.81372611
197,6862438,15.74157333
617,151708,11.9297129
827,42484,10.65688281
90,62071,11.03603417
637,58340,10.97404324
345,126439,11.74751526
360,72071,11.18540702
284,54972,10.91457924
73,116119,11.66237081
832,38217,10.55103572
539,103054,11.5430084
453,94750,11.45899712
857,1114941,13.92431205
573,2424330,14.70106576
436,159948,11.98260404
428,276379,12.52952839
383,3045449,14.929158900000001
236,297726,12.60392888
524,238587,12.382489300000001
307,1157156,13.96147583
794,191580,12.16306075
583,1183959,13.98437447
396,1685933,14.33782968
270,82148,11.31627778
858,1054968,13.86902099
274,74977,11.22493668
776,429719,12.97088679
79,91164,11.42041536
715,157689,11.96838002
873,436207,12.98587218
342,139717,11.84737423
13,1891993,14.45314133
896,117019,11.67009159
816,72950,11.19752955
883,199240,12.20226541
61,186184,12.13449071
353,94243,11.45363183
888,167333,12.02774112
885,184796,12.12700779
399,1362634,14.12493015
121,1046015,13.86049826
