,datename,locdate
0,1월1일,20190101
1,설날,20190204
2,설날,20190205
3,설날,20190206
4,삼일절,20190301
5,어린이날,20190505
6,대체공휴일,20190506
7,부처님오신날,20190512
8,현충일,20190606
9,"제헌절N20190717국경일이지만, 관공서의",공휴일이 아님.
10,광복절,20190815
11,추석,20190912
12,추석,20190913
13,추석,20190914
14,개천절,20191003
15,한글날,20191009
16,기독탄신일,20191225
17,1월1일,20180101
18,설날,20180215
19,설날,20180216
20,설날,20180217
21,삼일절,20180301
22,어린이날,20180505
23,대체휴무일,20180507
24,부처님오신날,20180522
25,현충일,20180606
26,전국동시지방선거,20180613
27,제헌절,20180717
28,광복절,20180815
29,추석,20180923
30,추석,20180924
31,추석,20180925
32,대체휴무일,20180926
33,개천절,20181003
34,한글날,20181009
35,기독탄신일,20181225
36,신정,20170101
37,설날,20170127
38,설날,20170128
39,설날,20170129
40,대체공휴일,20170130
41,삼일절,20170301
42,석가탄신일,20170503
43,어린이날,20170505
44,대통령선거일,20170509
45,현충일,20170606
46,제헌절N20170717국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 248,8호)이 아님.
47,광복절,20170815
48,임시공휴일,20171002
49,개천절,20171003
50,추석,20171003
51,추석,20171004
52,추석,20171005
53,대체공휴일,20171006
54,한글날,20171009
55,기독탄신일,20171225
56,신정,20160101
57,설날,20160207
58,설날,20160208
59,설날,20160209
60,대체공휴일,20160210
61,삼일절,20160301
62,국회의원선거일,20160413
63,어린이날,20160505
64,석가탄신일,20160514
65,현충일,20160606
66,제헌절N20160717국경일(2014. 12. 30. 법률 12915호)이지만 관공서의 공휴일(2013. 11. 05. 대통령령 248,8호)이 아님.
67,광복절,20160815
68,추석,20160914
69,추석,20160915
70,추석,20160916
71,개천절,20161003
72,한글날,20161009
73,기독탄신일,20161225
74,신정,20150101
75,설날,20150218
76,설날,20150219
77,설날,20150220
78,삼일절,20150301
79,어린이날,20150505
80,석가탄신일,20150525
81,현충일,20150606
82,제헌절N20150717국경일(2005. 12. 29. 법률 7771호)이지만 관공서의 공휴일(2012. 12. 28. 대통령령 242,3호)이 아님.
83,광복절,20150815
84,추석,20150926
85,추석,20150927
86,추석,20150928
87,대체공휴일,20150929
88,개천절,20151003
89,한글날,20151009
90,기독탄신일,20151225
